Host,lat,lon,Institute,accession,country,millet,sorghum,wild,maize,rice,sugarcane
no info,13.69108,9.51399,ALF,ALF016357,Niger,0,0,0,0,0,0
no info,14.5075,3.303576,ALF,ALF016358,Niger,0,0,0,0,0,0
no info,12.6521217,-7.9267028,ALF,ALF016359,Mali,0,0,0,0,0,0
no info,13.69108,9.51399,ALF,ALF016360,Niger,0,0,0,0,0,0
no info,13.8018124,8.98527,ALF,ALF016361,Niger,0,0,0,0,0,0
Mil,16.0902543,5.3939551,ALF,ALF016362,Niger,1,0,0,0,0,0
no info,13.983577,10.2628167,ALF,ALF016363,Niger,0,0,0,0,0,0
Mil,14.5075,3.303576,ALF,ALF016364,Niger,1,0,0,0,0,0
no info,8.5914775,16.0757749,ALF,ALF016365,Chad,0,0,0,0,0,0
no info,13.571561,-13.554332,ALF,ALF016366,Senegal,0,0,0,0,0,0
no info,12.733333,14.683333,ALF,ALF016367,Chad,0,0,0,0,0,0
no info,9.4295994,13.3616168,ALF,ALF046053,Cameroon,0,0,0,0,0,0
no info,7.7681541,15.3541013,ALF,ALF046054,Cameroon,0,0,0,0,0,0
no info,9.2780215,13.4612924,ALF,ALF046055,Cameroon,0,0,0,0,0,0
no info,9.3860529,13.5060994,ALF,ALF046056,Cameroon,0,0,0,0,0,0
no info,11.583333,-0.35,ALF,ALF046057,Burkina Faso,0,0,0,0,0,0
no info,9.3226016,13.393389,ALF,ALF046058,Cameroon,0,0,0,0,0,0
no info,10.58853275,14.01103372,ALF,ALF046059,Cameroon,0,0,0,0,0,0
no info,7.852777778,15.29555556,ALF,ALF046060,Cameroon,0,0,0,0,0,0
no info,14.1056708,38.2849463,LYJB,LYJB007152,Ethiopia,0,0,0,0,0,0
Mil,10.8851396,0.222215652,MPU,MPU216670,Togo,1,0,0,0,0,0
Sorgho,10.43333333,0.466666667,MPU,MPU216671,Togo,0,1,0,0,0,0
Borassus and Vitex,10.7,0.216666667,MPU,MPU216672,Togo,0,0,1,0,0,0
no info,13.6986477,30.3723741,MPU,MPU397445,Sudan,0,0,0,0,0,0
Mil (Pennisetum),13.57562182,-8.087654114,MNHN,P00520315,Mali,1,0,0,0,0,0
no info,13.57190904,-8.096237183,MNHN,P00520316,Mali,0,0,0,0,0,0
Mil (Pennisetum),11.381478,-7.2518004,MNHN,P00520317,Mali,1,0,0,0,0,0
Sorgho,12.30757877,-5.468444824,MNHN,P00520318,Mali,0,1,0,0,0,0
Sorgho,12.68,-7.01,MNHN,P00520319,Mali,0,1,0,0,0,0
Sorgho,12.53638889,-8.09,MNHN,P00520320,Mali,0,1,0,0,0,0
Mil,10.55741746,-5.753863695,MNHN,P00520321,Mali,1,0,0,0,0,0
Corn,10.6559548,-5.8142885,MNHN,P00520322,Mali,0,0,0,1,0,0
Mil,11.02747219,-5.59753418,MNHN,P00520323,Mali,1,0,0,0,0,0
Corn,11.16470469,-5.61126709,MNHN,P00520324,Mali,0,0,0,1,0,0
Sorgho,11.40490011,-7.052322348,MNHN,P00520325,Mali,0,1,0,0,0,0
Sorgho,11.1481471,-8.17779457,MNHN,P00520326,Mali,0,1,0,0,0,0
Corn,11.2,-7.98,MNHN,P00520327,Mali,0,0,0,1,0,0
Mil,11.17177333,-8.009033203,MNHN,P00520328,Mali,1,0,0,0,0,0
Mil,11.6702227,-7.6046446,MNHN,P00520329,Mali,1,0,0,0,0,0
